bin_start_s,bin_end_s,trips_completed,coal_moved_kg,avg_speed_kmh,pct_moving,pct_loading,pct_unloading,pct_travelling,trucks_active,total_fuel_L,total_co2_kg,throughput_trips_per_hr
0.0,60.0,0,0.0,12.24,100.0,0.0,0.0,100.0,3,0.1817,0.487,0
60.0,120.0,0,0.0,15.83,100.0,0.0,0.0,100.0,3,0.2053,0.550199,0
120.0,180.0,0,0.0,12.89,100.0,0.0,0.0,100.0,3,0.2404,0.644382,0
180.0,240.0,0,0.0,11.68,97.3,4.0,0.0,90.0,3,0.2118,0.567553,0
240.0,300.0,0,0.0,8.04,73.2,2.0,0.0,94.1,3,0.1731,0.463905,0
300.0,360.0,0,0.0,8.75,66.7,0.0,0.0,100.0,3,0.1758,0.471034,0
360.0,420.0,1,1000.0,6.92,64.7,0.0,2.0,94.7,3,0.1755,0.470311,60.0
420.0,480.0,1,1000.0,9.33,64.7,0.0,2.0,94.1,3,0.1622,0.434644,60.0
480.0,540.0,0,0.0,9.29,64.7,2.0,0.0,94.8,3,0.1666,0.446474,0
540.0,600.0,0,0.0,7.72,64.7,1.9,0.0,94.9,3,0.178,0.477043,0
600.0,660.0,0,0.0,8.84,66.7,0.0,0.0,100.0,3,0.1721,0.461133,0
660.0,720.0,1,1000.0,7.54,65.4,0.0,2.0,94.1,3,0.1747,0.468212,60.0
720.0,780.0,1,1000.0,9.26,65.3,0.0,2.0,94.0,3,0.167,0.447599,60.0
780.0,840.0,0,0.0,3.76,39.1,2.6,0.0,94.2,3,0.1624,0.435105,0
840.0,900.0,0,0.0,10.58,66.7,0.0,0.0,100.0,3,0.1762,0.472231,0
900.0,960.0,0,0.0,8.95,64.7,2.0,0.0,94.8,3,0.1679,0.449885,0
960.0,1020.0,1,1000.0,6.49,66.0,0.0,2.0,94.1,3,0.1754,0.469974,60.0
1020.0,1080.0,0,0.0,9.72,64.1,0.0,0.0,100.0,3,0.1753,0.469821,0
1080.0,1140.0,1,1000.0,7.88,65.4,0.0,1.9,94.9,3,0.158,0.423437,60.0
1140.0,1200.0,0,0.0,9.18,65.4,1.9,0.0,95.0,3,0.1697,0.454734,0
1200.0,1260.0,0,0.0,9.12,65.4,1.9,0.0,94.2,3,0.168,0.45011,0
1260.0,1320.0,0,0.0,6.61,66.7,0.0,1.3,98.7,3,0.1757,0.470897,0
1320.0,1380.0,1,1000.0,9.79,66.0,0.0,0.6,95.6,3,0.1732,0.464088,60.0
1380.0,1440.0,1,1000.0,8.03,66.0,0.0,2.0,94.0,3,0.161,0.431374,60.0
1440.0,1500.0,0,0.0,8.28,62.7,2.0,0.0,94.8,3,0.1714,0.459431,0
1500.0,1560.0,0,0.0,9.32,66.7,0.0,0.0,100.0,3,0.1684,0.451299,0
1560.0,1620.0,0,0.0,7.8,65.4,1.9,0.0,94.2,3,0.1681,0.45062,0
1620.0,1680.0,1,1000.0,7.54,62.7,0.0,2.6,94.1,3,0.1602,0.429451,60.0
1680.0,1740.0,1,1000.0,8.28,59.0,0.0,1.9,96.8,3,0.1814,0.48624,60.0
1740.0,1800.0,0,0.0,9.28,66.7,0.0,0.0,97.4,3,0.1701,0.455822,0
1800.0,1860.0,0,0.0,9.05,64.7,1.9,0.0,94.9,3,0.1635,0.438272,0
1860.0,1920.0,0,0.0,8.86,66.0,1.9,0.0,96.8,3,0.1714,0.459236,0
1920.0,1980.0,0,0.0,6.66,65.4,0.0,1.3,96.8,3,0.1681,0.450606,0
1980.0,2040.0,1,1000.0,7.13,62.7,0.0,0.7,95.4,3,0.1646,0.441035,60.0
2040.0,2100.0,0,0.0,11.46,66.7,0.0,0.0,100.0,3,0.186,0.498491,0
2100.0,2160.0,1,1000.0,6.18,64.1,1.9,1.9,89.1,3,0.1656,0.44378,60.0
2160.0,2220.0,0,0.0,9.89,62.8,0.0,0.0,100.0,3,0.1677,0.449303,0
2220.0,2280.0,0,0.0,9.72,66.7,0.0,0.0,100.0,3,0.1616,0.433022,0
2280.0,2340.0,1,1000.0,5.61,64.1,1.9,1.9,89.7,3,0.1602,0.429294,60.0
2340.0,2400.0,0,0.0,7.85,64.1,0.0,0.0,100.0,3,0.1713,0.459034,0
2400.0,2460.0,0,0.0,11.27,66.7,0.0,0.0,100.0,3,0.1693,0.453671,0
2460.0,2520.0,1,1000.0,5.73,64.7,1.9,1.9,88.5,3,0.1658,0.444296,60.0
2520.0,2580.0,0,0.0,9.16,66.7,0.0,0.0,100.0,3,0.1658,0.444339,0
