truck_id,idle_start_s,idle_end_s,duration_s,op_state,x_m,y_m
3,195.572,197.957,2.38,LOADING,702.86,-191.14
2,257.707,260.102,2.39,LOADING,702.63,-190.4
3,369.167,371.537,2.37,UNLOADING,652.5,180.89
2,465.552,467.887,2.33,GOING_TO_ENDPOINT,599.77,198.54
3,512.007,514.367,2.36,LOADING,702.51,-189.95
2,576.367,578.522,2.16,LOADING,702.7,-190.56
3,681.422,683.912,2.49,UNLOADING,652.5,180.06
2,745.967,748.557,2.59,UNLOADING,652.53,180.15
2,787.697,804.932,17.24,GOING_TO_ENDPOINT,598.85,198.93
2,806.252,824.062,17.81,GOING_TO_ENDPOINT,598.71,198.94
3,827.432,829.667,2.24,LOADING,702.55,-190.26
2,825.282,836.197,10.91,GOING_TO_ENDPOINT,598.39,198.93
2,939.957,942.212,2.25,LOADING,702.97,-190.98
3,1038.962,1043.737,4.78,GOING_TO_ENDPOINT,600.14,198.54
2,1251.717,1253.782,2.06,LOADING,702.58,-190.51
2,1456.142,1459.447,3.3,GOING_TO_ENDPOINT,600.27,198.47
3,1471.457,1473.542,2.08,LOADING,702.64,-190.55
2,1569.282,1571.587,2.31,LOADING,702.5,-189.94
3,1636.967,1639.162,2.19,UNLOADING,652.5,182.06
3,1676.457,1692.612,16.15,GOING_TO_ENDPOINT,599.13,198.78
3,1806.282,1808.522,2.24,LOADING,752.47,-190.16
3,1979.837,1982.017,2.18,UNLOADING,652.5,180.87
3,2022.822,2029.047,6.23,GOING_TO_ENDPOINT,599.34,198.88
3,2147.297,2149.647,2.35,LOADING,752.95,-191.57
2,2161.227,2167.712,6.49,GOING_TO_ENDPOINT,600.23,198.63
3,2325.647,2327.942,2.3,UNLOADING,652.5,181.19
3,2368.457,2373.257,4.8,GOING_TO_ENDPOINT,600.34,198.6
3,2489.652,2492.012,2.36,LOADING,752.51,-190.21
3,2708.432,2736.322,27.89,GOING_TO_ENDPOINT,600.4,198.59
3,2847.887,2850.252,2.36,LOADING,752.53,-190.38
2,2926.717,2936.707,9.99,GOING_TO_ENDPOINT,599.96,198.66
3,3183.887,3186.222,2.34,LOADING,752.62,-190.25
2,3313.077,3325.632,12.55,GOING_TO_ENDPOINT,599.93,198.73
3,3327.067,3331.222,4.16,RETURNING_TO_START,595.86,192.24
3,3370.267,3372.517,2.25,UNLOADING,652.5,179.97
3,3410.082,3413.337,3.26,GOING_TO_ENDPOINT,600.31,198.51
3,3521.777,3524.187,2.41,LOADING,752.5,-189.94
3,3704.362,3706.562,2.2,UNLOADING,659.62,176.02
2,3695.892,3720.907,25.02,GOING_TO_ENDPOINT,650.52,205.75
3,3725.037,3727.577,2.54,GOING_TO_ENDPOINT,647.84,209.29
3,4018.057,4020.672,2.62,RETURNING_TO_START,651.59,201.16
3,4033.782,4036.092,2.31,UNLOADING,652.5,180.98
3,4181.647,4183.812,2.16,LOADING,752.51,-190.04
3,4494.527,4496.702,2.18,LOADING,752.59,-190.15
3,4667.137,4669.272,2.14,UNLOADING,652.5,181.6
3,4703.917,4710.702,6.78,GOING_TO_ENDPOINT,600.08,198.66
3,4818.382,4820.412,2.03,LOADING,752.66,-190.43
3,4990.207,4992.312,2.1,UNLOADING,652.5,180.18
3,5012.717,5015.762,3.05,GOING_TO_ENDPOINT,648.37,206.05
2,3726.522,5016.772,1290.25,GOING_TO_ENDPOINT,649.82,207.76
2,5345.567,5349.147,3.58,RETURNING_TO_START,651.97,201.47
3,5020.462,5384.397,363.93,GOING_TO_ENDPOINT,648.44,206.93
3,5385.502,5761.977,376.47,GOING_TO_ENDPOINT,648.46,207.23
2,5760.572,5765.637,5.06,GOING_TO_ENDPOINT,647.64,206.19
3,5879.062,5881.382,2.32,LOADING,502.88,-190.99
2,5766.782,6028.217,261.43,GOING_TO_ENDPOINT,647.66,206.47
3,6044.632,6046.692,2.06,UNLOADING,652.5,180.54
3,6080.642,6083.907,3.27,GOING_TO_ENDPOINT,600.64,198.4
3,6193.527,6195.807,2.28,LOADING,502.58,-190.46
