sim_time_s,zone,trucks_queued,truck_ids,event_type
256.347,load_zone_26,2,3+2,ARRIVE_LOAD_ZONE
424.592,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
574.807,load_zone_26,2,3+2,ARRIVE_LOAD_ZONE
744.667,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
937.922,load_zone_26,2,3+2,ARRIVE_LOAD_ZONE
1105.087,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
1250.107,load_zone_26,2,3+2,ARRIVE_LOAD_ZONE
1411.787,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
1567.917,load_zone_26,2,3+2,ARRIVE_LOAD_ZONE
1734.242,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
2121.577,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
2666.632,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
3025.157,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
3368.897,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
3702.752,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
4031.892,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
4349.287,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
4665.537,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
4988.772,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
5360.952,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
5736.227,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
6042.667,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
