trip_id,truck_id,trip_number,load_zone,dump_zone,depart_time_s,arrive_load_s,load_complete_s,depart_load_s,arrive_dump_s,unload_complete_s,travel_to_mine_s,load_wait_s,travel_to_dump_s,unload_wait_s,total_trip_duration_s,cargo_kg,fuel_L,co2_kg,road_dist_to_mine_m,road_dist_to_dump_m,total_road_dist_m,detour_factor,avg_edge_weight
1,3,1,load_zone_26,dump_zone_3,,193.607,197.022,202.537,367.157,370.812,,3.41,164.62,3.66,368.78,1000.0,1.1871,3.181519,530.71,530.71,1061.42,1.4214,58.97
2,2,1,load_zone_26,dump_zone_3,,256.347,259.772,265.717,424.592,428.082,,3.43,158.88,3.49,426.05,1000.0,1.3726,3.678656,530.71,530.71,1061.42,1.4214,58.97
3,3,2,load_zone_26,dump_zone_3,377.122,510.117,513.652,519.777,680.012,683.382,133.0,3.54,160.23,3.37,312.57,1000.0,1.0041,2.691036,530.71,530.71,1061.42,1.4214,58.97
4,2,2,load_zone_26,dump_zone_3,434.292,574.807,578.522,584.127,744.667,748.147,140.52,3.72,160.54,3.48,320.06,1000.0,1.0273,2.753201,530.71,530.71,1061.42,1.4214,58.97
5,3,3,load_zone_26,dump_zone_3,689.652,825.282,828.707,834.847,995.532,999.157,135.63,3.42,160.69,3.62,315.77,1000.0,1.0142,2.718125,530.71,530.71,1061.42,1.4214,58.97
6,2,3,load_zone_26,dump_zone_3,754.382,937.922,941.467,946.912,1105.087,1108.432,183.54,3.54,158.17,3.35,360.28,1000.0,1.1469,3.073819,530.71,530.71,1061.42,1.4214,58.97
7,3,4,load_zone_26,dump_zone_3,1005.482,1148.602,1151.937,1157.497,1318.172,1321.512,143.12,3.33,160.67,3.34,322.35,1000.0,1.0327,2.767561,530.71,530.71,1061.42,1.4214,58.97
8,2,4,load_zone_26,dump_zone_3,1114.707,1250.107,1253.557,1259.492,1411.787,1415.612,135.4,3.45,152.3,3.83,307.18,1000.0,0.9908,2.655367,530.71,530.71,1061.42,1.4214,58.97
9,3,5,load_zone_26,dump_zone_3,1327.817,1469.757,1473.117,1478.837,1634.677,1638.537,141.94,3.36,155.84,3.86,317.03,1000.0,1.0162,2.723468,530.71,530.71,1061.42,1.4214,58.97
10,2,5,load_zone_26,dump_zone_3,1421.852,1567.917,1571.317,1577.667,1734.242,1737.647,146.06,3.4,156.58,3.4,322.04,1000.0,1.0334,2.769637,530.71,530.71,1061.42,1.4214,58.97
11,3,6,load_zone_29,dump_zone_3,1644.722,1804.292,1807.847,1814.037,1978.387,1981.722,159.57,3.56,164.35,3.34,343.19,1000.0,1.1,2.948095,580.71,580.71,1161.42,1.5151,58.07
12,2,6,load_zone_25,dump_zone_3,1743.777,1914.877,1918.102,1923.972,2121.577,2125.207,171.1,3.23,197.61,3.63,387.56,1000.0,1.2446,3.335447,635.27,635.27,1270.55,1.5019,63.53
13,3,7,load_zone_29,dump_zone_3,1988.022,2145.857,2149.202,2154.872,2323.547,2327.232,157.84,3.35,168.68,3.68,345.51,1000.0,1.1076,2.968329,580.71,580.71,1161.42,1.5151,58.07
14,2,7,load_zone_25,dump_zone_3,2131.397,2306.542,2310.037,2315.767,2504.747,2508.052,175.14,3.49,188.98,3.31,382.85,1000.0,1.2265,3.287026,635.27,635.27,1270.55,1.5019,63.53
15,3,8,load_zone_29,dump_zone_3,2333.362,2488.132,2491.717,2497.932,2666.632,2670.482,154.77,3.59,168.7,3.85,343.25,1000.0,1.1016,2.952369,580.71,580.71,1161.42,1.5151,58.07
16,2,8,load_zone_25,dump_zone_3,2514.312,2682.927,2686.567,2692.452,2883.542,2887.292,168.62,3.64,191.09,3.75,379.24,1000.0,1.2167,3.260687,635.27,635.27,1270.55,1.5019,63.53
17,3,9,load_zone_29,dump_zone_3,2676.832,2846.402,2849.927,2855.762,3025.157,3028.812,169.57,3.53,169.39,3.65,358.33,1000.0,1.1478,3.076117,580.71,580.71,1161.42,1.5151,58.07
18,2,9,load_zone_25,dump_zone_3,2893.732,3073.142,3076.722,3082.362,3272.762,3276.172,179.41,3.58,190.4,3.41,388.88,1000.0,1.2455,3.338003,635.27,635.27,1270.55,1.5019,63.53
19,3,10,load_zone_29,dump_zone_3,3035.062,3182.742,3186.222,3192.197,3368.897,3372.152,147.68,3.48,176.7,3.26,343.34,1000.0,1.101,2.950579,580.71,580.71,1161.42,1.5151,58.07
20,2,10,load_zone_25,dump_zone_3,3282.412,3469.647,3473.207,3479.307,3671.862,3675.322,187.24,3.56,192.56,3.46,399.15,1000.0,1.2768,3.421775,635.27,635.27,1270.55,1.5019,63.53
21,3,11,load_zone_29,dump_zone_3,3378.657,3519.917,3523.332,3529.697,3702.752,3706.002,141.26,3.41,173.05,3.25,333.85,1000.0,1.0749,2.880658,580.71,580.71,1161.42,1.5151,58.07
22,3,12,load_zone_29,dump_zone_3,3707.052,3856.627,3860.042,3866.037,4031.892,4035.417,149.57,3.41,165.86,3.53,329.42,1000.0,1.0593,2.839027,580.71,580.71,1161.42,1.5151,58.07
23,3,13,load_zone_29,dump_zone_3,4041.502,4180.247,4183.432,4189.762,4349.287,4352.667,138.75,3.18,159.53,3.38,317.25,1000.0,1.0202,2.734149,580.71,580.71,1161.42,1.5151,58.07
24,3,14,load_zone_29,dump_zone_3,4358.887,4492.842,4496.027,4502.002,4665.537,4668.847,133.95,3.19,163.53,3.31,316.18,1000.0,1.0194,2.732018,580.71,580.71,1161.42,1.5151,58.07
25,3,15,load_zone_29,dump_zone_3,4675.122,4817.117,4820.412,4826.367,4988.772,4992.132,141.99,3.3,162.4,3.36,323.29,1000.0,1.0401,2.787484,580.71,580.71,1161.42,1.5151,58.07
26,2,11,load_zone_25,dump_zone_3,3681.527,5163.127,5166.352,5172.152,5360.952,5364.502,1481.6,3.22,188.8,3.55,1689.18,1000.0,5.1458,13.790703,635.27,635.27,1270.55,1.5019,63.53
27,2,12,load_zone_25,dump_zone_3,5370.632,5542.477,5545.837,5551.997,5736.227,5739.592,171.85,3.36,184.23,3.36,375.09,1000.0,1.2042,3.227395,635.27,635.27,1270.55,1.5019,63.53
28,3,16,load_zone_24,dump_zone_3,4998.392,5877.532,5880.932,5886.392,6042.667,6046.112,879.14,3.4,156.28,3.44,1053.98,1000.0,3.2276,8.650003,530.71,530.71,1061.42,1.3293,58.97
29,3,17,load_zone_24,dump_zone_3,6052.222,6191.917,6195.187,6201.082,6361.762,6365.267,139.7,3.27,160.68,3.51,319.15,1000.0,1.0247,2.746119,530.71,530.71,1061.42,1.3293,58.97
