sim_time_s,wall_time,event_type,truck_id,node,cargo_kg,coal_remaining_kg,extra
112.295,2026-05-23T13:29:34.443,ARRIVE_LOAD_ZONE,2,load_zone_26,0.0,10000.0,
115.313,2026-05-23T13:29:37.462,LOAD_COMPLETE,2,dump_zone_3,1000.0,unlimited,trip_fuel_so_far_L=0.378
120.699,2026-05-23T13:29:42.861,DEPART_LOAD_ZONE,2,dump_zone_3,1000.0,unlimited,session_fuel_L=0.3946|session_co2_kg=1.057565
142.706,2026-05-23T13:30:04.896,ARRIVE_LOAD_ZONE,1,load_zone_22,0.0,10000.0,
145.725,2026-05-23T13:30:07.872,LOAD_COMPLETE,1,dump_zone_22,1000.0,unlimited,trip_fuel_so_far_L=0.4693
146.476,2026-05-23T13:30:08.651,DEPART_LOAD_ZONE,1,dump_zone_22,1000.0,unlimited,session_fuel_L=0.4717|session_co2_kg=1.264364
215.183,2026-05-23T13:31:17.330,ARRIVE_DUMP_ZONE,1,dump_zone_22,1000.0,unlimited,
215.836,2026-05-23T13:31:17.983,ARRIVE_LOAD_ZONE,3,load_zone_22,0.0,9000.0,
218.244,2026-05-23T13:31:20.392,UNLOAD_COMPLETE,1,load_zone_22,0.0,9000.0,trip_id=1|trip_duration_s=216.21|trip_fuel_L=0.7018|trip_co2_kg=1.881442
218.885,2026-05-23T13:31:21.032,LOAD_COMPLETE,3,dump_zone_22,1000.0,unlimited,trip_fuel_so_far_L=0.7074
219.639,2026-05-23T13:31:21.814,DEPART_LOAD_ZONE,3,dump_zone_22,1000.0,unlimited,session_fuel_L=0.7097|session_co2_kg=1.902587
219.848,2026-05-23T13:31:22.022,DEPART_DUMP_ZONE,1,load_zone_22,0.0,8000.0,session_fuel_L=0.7067|session_co2_kg=1.894559
238.463,2026-05-23T13:31:40.610,ARRIVE_DUMP_ZONE,2,dump_zone_3,1000.0,unlimited,
241.481,2026-05-23T13:31:43.629,UNLOAD_COMPLETE,2,load_zone_26,0.0,9000.0,trip_id=1|trip_duration_s=239.45|trip_fuel_L=0.7964|trip_co2_kg=2.134854
245.81,2026-05-23T13:31:48.010,DEPART_DUMP_ZONE,2,load_zone_26,0.0,9000.0,session_fuel_L=0.8096|session_co2_kg=2.170259
261.602,2026-05-23T13:32:03.750,ARRIVE_DUMP_ZONE,3,dump_zone_22,1000.0,unlimited,
264.339,2026-05-23T13:32:06.532,ARRIVE_LOAD_ZONE,1,load_zone_22,0.0,8000.0,
264.622,2026-05-23T13:32:06.770,UNLOAD_COMPLETE,3,load_zone_22,0.0,8000.0,trip_id=1|trip_duration_s=262.59|trip_fuel_L=0.8591|trip_co2_kg=2.303076
266.196,2026-05-23T13:32:08.371,DEPART_DUMP_ZONE,3,load_zone_22,0.0,8000.0,session_fuel_L=0.8639|session_co2_kg=2.315955
267.371,2026-05-23T13:32:09.519,LOAD_COMPLETE,1,dump_zone_22,1000.0,unlimited,trip_fuel_so_far_L=0.1568
268.022,2026-05-23T13:32:10.197,DEPART_LOAD_ZONE,1,dump_zone_22,1000.0,unlimited,session_fuel_L=0.8606|session_co2_kg=2.307341
