sim_time_s,wall_time,truck_id,x_m,y_m,speed_kmh,accel_ms2,cargo_kg,op_state,current_node,target_node,fuel_L_step,co2_kg_step
2.01,2026-05-23T13:13:29.164,1,650.063,315.96,7.236,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.006705,0.017969
2.01,2026-05-23T13:13:29.164,2,-49.783,735.966,7.236,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.006705,0.017969
2.01,2026-05-23T13:13:29.164,3,699.937,184.04,7.236,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,0.006705,0.017969
3.06,2026-05-23T13:13:30.127,1,650.86,313.451,10.882,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000291,0.00078
3.06,2026-05-23T13:13:30.127,2,-49.188,733.344,11.016,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000291,0.00078
3.06,2026-05-23T13:13:30.127,3,699.13,186.544,10.882,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,0.000291,0.00078
4.064,2026-05-23T13:13:31.191,1,652.131,310.17,13.864,0.442,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,5.3e-05,0.000142
4.064,2026-05-23T13:13:31.191,2,-48.225,729.867,14.63,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,5.9e-05,0.000158
4.064,2026-05-23T13:13:31.191,3,697.875,189.807,13.637,0.34,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,5.3e-05,0.000142
5.12,2026-05-23T13:13:32.187,1,652.523,306.096,13.477,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.00018,0.000482
5.12,2026-05-23T13:13:32.187,2,-47.589,725.041,18.432,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000231,0.000619
5.12,2026-05-23T13:13:32.187,3,697.48,193.757,12.931,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,0.00018,0.000482
6.14,2026-05-23T13:13:33.281,1,652.506,302.551,11.641,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000312,0.000836
6.14,2026-05-23T13:13:33.281,2,-47.493,719.329,21.425,0.453,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000368,0.000986
6.14,2026-05-23T13:13:33.281,3,697.48,197.147,11.095,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,0.000312,0.000836
7.166,2026-05-23T13:13:34.233,1,651.91,299.591,9.966,-0.214,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000183,0.00049
7.166,2026-05-23T13:13:34.233,2,-47.499,713.18,21.125,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000183,0.00049
7.166,2026-05-23T13:13:34.233,3,696.818,200.016,10.562,0.33,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,0.000196,0.000525
8.17,2026-05-23T13:13:35.237,1,649.963,297.805,9.037,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000267,0.000716
8.17,2026-05-23T13:13:35.237,2,-47.5,707.553,19.318,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000267,0.000716
8.17,2026-05-23T13:13:35.237,3,694.118,201.748,13.423,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,0.000322,0.000863
9.237,2026-05-23T13:13:36.304,1,647.546,297.445,8.189,0.24,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000273,0.000732
9.237,2026-05-23T13:13:36.304,2,-47.502,702.127,17.397,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000261,0.000699
9.237,2026-05-23T13:13:36.304,3,689.875,200.349,17.264,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,0.000331,0.000887
10.246,2026-05-23T13:13:37.313,1,644.947,297.674,10.835,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000179,0.00048
10.246,2026-05-23T13:13:37.313,2,-47.25,697.526,15.581,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000153,0.00041
10.246,2026-05-23T13:13:37.313,3,684.818,198.562,20.896,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,0.000202,0.000541
11.249,2026-05-23T13:13:38.316,1,641.413,298.045,14.445,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000286,0.000766
11.249,2026-05-23T13:13:38.316,2,-46.272,693.577,13.775,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000234,0.000627
11.249,2026-05-23T13:13:38.316,3,678.551,197.608,24.405,0.792,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,0.000307,0.000823
12.263,2026-05-23T13:13:39.401,1,636.831,298.595,18.096,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,6.5e-05,0.000174
12.263,2026-05-23T13:13:39.401,2,-44.886,690.202,12.512,-0.044,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,5.2e-05,0.000139
12.263,2026-05-23T13:13:39.401,3,671.353,197.493,26.029,-0.022,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,5.4e-05,0.000145
13.306,2026-05-23T13:13:40.374,1,631.09,299.382,21.428,0.6114,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000261,0.000699
13.306,2026-05-23T13:13:40.374,2,-43.145,686.958,12.983,0.2804,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.00023,0.000616
13.306,2026-05-23T13:13:40.374,3,664.015,197.5,24.499,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,0.000213,0.000571
14.306,2026-05-23T13:13:41.429,1,625.071,300.21,21.706,-0.3886,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000303,0.000812
14.306,2026-05-23T13:13:41.429,2,-41.16,683.837,13.399,-0.0661,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.00031,0.000831
14.306,2026-05-23T13:13:41.429,3,657.475,197.501,22.722,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,0.000303,0.000812
15.374,2026-05-23T13:13:42.441,1,618.972,300.903,19.797,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000258,0.000691
15.374,2026-05-23T13:13:42.441,2,-38.782,680.599,13.786,0.229,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000278,0.000745
15.374,2026-05-23T13:13:42.441,3,651.034,197.494,20.854,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,0.000258,0.000691
16.413,2026-05-23T13:13:43.480,1,613.554,301.187,17.927,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000228,0.000611
16.413,2026-05-23T13:13:43.480,2,-36.024,677.307,16.122,0.856,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000278,0.000745
16.413,2026-05-23T13:13:43.480,3,645.29,197.289,19.237,-0.192,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,0.000228,0.000611
17.481,2026-05-23T13:13:44.548,1,608.551,300.921,16.004,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000249,0.000667
17.481,2026-05-23T13:13:44.548,2,-32.477,673.547,18.017,0.018,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000261,0.000699
17.481,2026-05-23T13:13:44.548,3,639.557,196.716,19.813,0.1397,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,0.00027,0.000724
18.566,2026-05-23T13:13:45.632,1,604.207,299.767,14.051,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000267,0.000716
18.566,2026-05-23T13:13:45.632,2,-28.514,669.834,18.001,-0.0869,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000274,0.000734
18.566,2026-05-23T13:13:45.632,3,633.758,195.947,18.688,-0.498,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,0.000267,0.000716
19.568,2026-05-23T13:13:46.724,1,601.334,297.586,12.248,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,4.8e-05,0.000129
19.568,2026-05-23T13:13:46.724,2,-24.77,666.694,17.312,-0.2049,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,4.8e-05,0.000129
19.568,2026-05-23T13:13:46.724,3,628.828,195.252,17.355,-0.3853,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,4.8e-05,0.000129
20.581,2026-05-23T13:13:47.647,1,599.901,294.779,10.424,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000231,0.000619
20.581,2026-05-23T13:13:47.647,2,-20.989,663.83,16.549,-0.3359,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000231,0.000619
20.581,2026-05-23T13:13:47.647,3,624.248,194.648,15.611,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,0.000231,0.000619
21.668,2026-05-23T13:13:48.735,1,599.237,291.933,9.598,0.253,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000291,0.00078
21.668,2026-05-23T13:13:48.735,2,-17.057,661.146,15.289,-0.3707,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000276,0.00074
21.668,2026-05-23T13:13:48.735,3,619.798,194.169,14.302,-0.3008,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,0.000276,0.00074
22.705,2026-05-23T13:13:49.772,1,598.905,288.82,12.39,0.897,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000303,0.000812
22.705,2026-05-23T13:13:49.772,2,-13.283,658.847,15.985,0.6663,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000304,0.000815
22.705,2026-05-23T13:13:49.772,3,615.836,193.9,13.157,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,0.000258,0.000691
23.77,2026-05-23T13:13:50.836,1,598.814,284.651,15.523,0.8011,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000302,0.000809
23.77,2026-05-23T13:13:50.836,2,-8.921,656.483,16.997,-0.1547,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,0.000254,0.000681
23.77,2026-05-23T13:13:50.836,3,612.25,193.838,11.24,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,0.000252,0.000675
24.777,2026-05-23T13:13:51.932,1,598.998,279.835,18.78,0.8278,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,6e-05,0.000161
24.777,2026-05-23T13:13:51.932,2,-4.771,654.537,15.92,-0.308,0.0,GOING_TO_ENDPOINT,dump_zone_18,load_zone_22,4.8e-05,0.000129
24.777,2026-05-23T13:13:51.932,3,609.415,194.21,9.428,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_4,load_zone_26,4.8e-05,0.000129
25.848,2026-05-23T13:13:53.002,1,599.522,273.776,21.398,0.2597,0.0,GOING_TO_ENDPOINT,dump_zone_9,load_zone_26,0.000365,0.000978
