policy,summary_type,choice,count,share_pct,avg_est_duration_s,avg_queue_factor,mine_match_rate_pct,top_mine,top_mine_share_pct,top_dump,top_dump_share_pct
GREEDY_NEAREST,mine_share,load_zone_26,44,24.18,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
GREEDY_NEAREST,mine_share,load_zone_22,36,19.78,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
GREEDY_NEAREST,mine_share,load_zone_23,30,16.48,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
GREEDY_NEAREST,mine_share,load_zone_1,19,10.44,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
GREEDY_NEAREST,mine_share,load_zone_2,11,6.04,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
GREEDY_NEAREST,mine_share,load_zone_29,11,6.04,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
GREEDY_NEAREST,mine_share,load_zone_25,11,6.04,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
GREEDY_NEAREST,mine_share,load_zone_27,10,5.49,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
GREEDY_NEAREST,mine_share,load_zone_24,10,5.49,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
GREEDY_NEAREST,dump_share,load_zone_29,44,24.18,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
GREEDY_NEAREST,dump_share,dump_zone_3,42,23.08,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
GREEDY_NEAREST,dump_share,dump_zone_23,36,19.78,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
GREEDY_NEAREST,dump_share,dump_zone_22,30,16.48,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
GREEDY_NEAREST,dump_share,dump_zone_2,30,16.48,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
ETA_MIN,mine_share,load_zone_26,44,24.18,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
ETA_MIN,mine_share,load_zone_22,36,19.78,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
ETA_MIN,mine_share,load_zone_23,30,16.48,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
ETA_MIN,mine_share,load_zone_1,19,10.44,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
ETA_MIN,mine_share,load_zone_2,11,6.04,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
ETA_MIN,mine_share,load_zone_29,11,6.04,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
ETA_MIN,mine_share,load_zone_25,11,6.04,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
ETA_MIN,mine_share,load_zone_27,10,5.49,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
ETA_MIN,mine_share,load_zone_24,10,5.49,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
ETA_MIN,dump_share,load_zone_29,44,24.18,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
ETA_MIN,dump_share,dump_zone_3,42,23.08,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
ETA_MIN,dump_share,dump_zone_23,36,19.78,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
ETA_MIN,dump_share,dump_zone_22,30,16.48,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
ETA_MIN,dump_share,dump_zone_2,30,16.48,196.52,1.001,64.29,load_zone_26,24.18,load_zone_29,24.18
ETA_AWARE,mine_share,load_zone_26,44,24.18,196.45,1.0,64.29,load_zone_26,24.18,load_zone_29,24.18
ETA_AWARE,mine_share,load_zone_22,36,19.78,196.45,1.0,64.29,load_zone_26,24.18,load_zone_29,24.18
ETA_AWARE,mine_share,load_zone_23,30,16.48,196.45,1.0,64.29,load_zone_26,24.18,load_zone_29,24.18
ETA_AWARE,mine_share,load_zone_1,19,10.44,196.45,1.0,64.29,load_zone_26,24.18,load_zone_29,24.18
