policy,trip_id,sim_time_s,truck_id,current_node,chosen_mine,chosen_dump,actual_mine,actual_dump,est_duration,actual_duration,est_fuel,cargo_kg,queue_factor
GREEDY_NEAREST,3,118.2,1,dump_zone_3,load_zone_22,dump_zone_23,load_zone_26,dump_zone_3,102.4,245.0,0.3318,1000.0,1.0
GREEDY_NEAREST,1,137.5,2,dump_zone_22,load_zone_22,dump_zone_23,load_zone_22,dump_zone_22,102.1,185.9,0.3309,1000.0,1.0
GREEDY_NEAREST,2,166.8,3,dump_zone_23,load_zone_22,dump_zone_23,load_zone_22,dump_zone_23,102.7,211.2,0.3327,1000.0,1.0
GREEDY_NEAREST,4,189.0,2,load_zone_22,load_zone_22,dump_zone_23,load_zone_22,dump_zone_22,102.4,99.4,0.3318,1000.0,1.0
GREEDY_NEAREST,5,215.6,3,load_zone_22,load_zone_22,dump_zone_23,load_zone_22,dump_zone_23,102.4,85.0,0.3318,1000.0,1.0
GREEDY_NEAREST,8,251.7,1,load_zone_26,load_zone_22,dump_zone_23,load_zone_26,dump_zone_3,102.4,227.6,0.3318,1000.0,1.0
GREEDY_NEAREST,6,288.7,2,load_zone_22,load_zone_22,dump_zone_23,load_zone_22,dump_zone_22,102.4,98.8,0.3318,1000.0,1.0
GREEDY_NEAREST,7,300.5,3,load_zone_22,load_zone_22,dump_zone_23,load_zone_22,dump_zone_23,102.4,98.2,0.3318,1000.0,1.0
GREEDY_NEAREST,11,391.0,2,load_zone_22,load_zone_22,dump_zone_23,load_zone_22,dump_zone_22,102.4,300.0,0.3318,1000.0,1.0
GREEDY_NEAREST,9,397.4,3,load_zone_22,load_zone_22,dump_zone_23,load_zone_22,dump_zone_23,102.4,99.4,0.3318,1000.0,1.0
GREEDY_NEAREST,12,480.4,1,load_zone_26,load_zone_23,dump_zone_22,load_zone_26,dump_zone_3,110.4,227.0,0.3584,1000.0,1.0
GREEDY_NEAREST,10,498.4,3,load_zone_22,load_zone_23,dump_zone_22,load_zone_22,dump_zone_23,110.4,128.4,0.3584,1000.0,1.0
GREEDY_NEAREST,13,625.1,3,load_zone_22,load_zone_23,dump_zone_22,load_zone_22,dump_zone_23,110.4,83.6,0.3584,1000.0,1.0
GREEDY_NEAREST,15,687.4,2,load_zone_23,load_zone_23,dump_zone_22,load_zone_23,dump_zone_23,110.4,124.9,0.3584,1000.0,1.0
GREEDY_NEAREST,18,706.4,1,load_zone_26,load_zone_23,dump_zone_22,load_zone_26,dump_zone_3,110.4,232.2,0.3584,1000.0,1.0
GREEDY_NEAREST,14,709.2,3,load_zone_23,load_zone_23,dump_zone_22,load_zone_23,dump_zone_22,110.4,93.5,0.3584,1000.0,1.0
GREEDY_NEAREST,16,802.6,3,load_zone_23,load_zone_23,dump_zone_22,load_zone_23,dump_zone_22,110.4,107.1,0.3584,1000.0,1.0
GREEDY_NEAREST,17,813.8,2,load_zone_23,load_zone_23,dump_zone_22,load_zone_23,dump_zone_23,110.4,112.5,0.3584,1000.0,1.0
GREEDY_NEAREST,19,913.8,3,load_zone_23,load_zone_23,dump_zone_22,load_zone_23,dump_zone_22,110.4,113.3,0.3584,1000.0,1.0
GREEDY_NEAREST,20,926.4,2,load_zone_23,load_zone_23,dump_zone_22,load_zone_23,dump_zone_23,110.4,104.1,0.3584,1000.0,1.0
GREEDY_NEAREST,23,938.1,1,load_zone_26,load_zone_1,dump_zone_2,load_zone_26,dump_zone_3,183.0,229.8,0.5877,1000.0,1.0
