bin_start_s,bin_end_s,trips_completed,coal_moved_kg,avg_speed_kmh,pct_moving,pct_loading,pct_unloading,pct_travelling,trucks_active,total_fuel_L,total_co2_kg,throughput_trips_per_hr
0.0,60.0,0,0.0,16.83,100.0,0.0,0.0,100.0,3,0.068,0.182332,0
60.0,120.0,0,0.0,19.5,100.0,1.2,0.0,98.8,3,0.0401,0.107451,0
120.0,180.0,0,0.0,15.38,96.6,4.0,0.0,91.4,3,0.0337,0.090344,0
180.0,240.0,2,2000.0,15.79,96.6,1.7,3.4,92.0,3,0.0259,0.069401,120.0
240.0,300.0,3,3000.0,14.31,93.8,1.7,5.1,88.1,3,0.027,0.072476,180.0
300.0,360.0,0,0.0,15.09,93.7,5.2,0.0,90.2,3,0.0328,0.087995,0
360.0,420.0,2,2000.0,16.54,98.3,0.0,3.4,93.1,3,0.0307,0.082219,120.0
420.0,480.0,1,1000.0,10.52,87.4,3.4,1.7,88.5,3,0.042,0.112659,60.0
480.0,540.0,1,1000.0,12.11,63.8,1.7,1.7,94.4,3,0.0212,0.056812,60.0
540.0,600.0,0,0.0,9.98,67.8,1.7,0.0,96.0,3,0.0286,0.07675,0
600.0,660.0,1,1000.0,11.59,65.5,0.0,1.7,97.7,3,0.0298,0.079764,60.0
660.0,720.0,3,3000.0,14.0,92.1,1.7,5.1,89.3,3,0.0271,0.072752,180.0
720.0,780.0,0,0.0,16.94,97.7,3.4,0.0,90.8,3,0.0322,0.086333,0
780.0,840.0,2,2000.0,17.64,96.6,1.7,2.9,89.1,3,0.0255,0.068391,120.0
840.0,900.0,0,0.0,16.04,97.7,3.4,0.0,93.1,3,0.0439,0.117582,0
900.0,960.0,3,3000.0,15.38,97.1,0.0,5.2,87.9,3,0.0309,0.082813,180.0
960.0,1020.0,0,0.0,17.53,97.7,3.4,0.6,89.1,3,0.0306,0.081961,0
1020.0,1080.0,2,2000.0,14.86,93.2,5.1,2.8,85.3,3,0.0258,0.069052,120.0
