truck_id,idle_start_s,idle_end_s,duration_s,op_state,x_m,y_m
3,252.582,255.63,3.05,LOADING,-168.61,403.32
2,261.811,264.879,3.07,RETURNING_TO_START,-101.39,450.44
3,337.891,339.951,2.06,LOADING,-172.85,401.56
2,339.951,343.076,3.12,RETURNING_TO_START,-167.36,402.73
2,433.29,435.293,2.0,LOADING,-170.16,402.33
3,434.293,436.295,2.0,LOADING,-170.22,398.23
3,467.68,470.767,3.09,RETURNING_TO_START,-98.3,452.13
2,467.68,561.537,93.86,RETURNING_TO_START,-100.62,453.85
2,565.668,575.968,10.3,RETURNING_TO_START,-101.02,456.33
1,578.016,580.095,2.08,LOADING,703.71,-192.59
2,577.014,663.137,86.12,RETURNING_TO_START,-101.11,456.6
3,662.129,664.144,2.01,LOADING,-167.94,403.55
2,685.049,687.079,2.03,UNLOADING,-170.87,452.46
1,700.369,702.395,2.03,UNLOADING,653.7,176.55
2,761.21,763.272,2.06,LOADING,-95.54,321.56
2,873.82,875.835,2.01,LOADING,-102.87,322.93
3,967.008,969.11,2.1,LOADING,-97.68,328.93
2,1026.531,1028.573,2.04,UNLOADING,-95.08,522.29
2,1073.795,1075.851,2.06,LOADING,-88.99,315.39
2,1121.433,1123.452,2.02,UNLOADING,-98.87,522.91
3,1121.433,1123.452,2.02,UNLOADING,-171.17,451.94
3,1338.342,1341.389,3.05,LOADING,123.0,158.1
2,1425.498,1427.57,2.07,UNLOADING,184.8,342.97
2,1518.638,1531.085,12.45,RETURNING_TO_START,86.4,156.74
2,1923.557,1931.795,8.24,RETURNING_TO_START,-101.31,450.77
3,2070.16,2072.2,2.04,LOADING,703.22,-191.91
1,2208.849,2210.874,2.02,UNLOADING,651.51,175.76
1,2425.102,2609.576,184.47,RETURNING_TO_START,596.73,196.36
2,2033.383,2609.576,576.19,RETURNING_TO_START,-101.32,450.19
3,2424.029,2609.576,185.55,RETURNING_TO_START,596.86,198.95
1,2752.048,2755.112,3.06,LOADING,-169.42,402.86
1,2781.264,2800.926,19.66,RETURNING_TO_START,-101.31,450.04
1,2824.501,2826.57,2.07,UNLOADING,-171.78,451.8
1,2874.594,2876.618,2.02,LOADING,-169.81,402.97
3,3152.797,3155.182,2.38,LOADING,702.86,-191.14
2,3214.932,3217.327,2.4,LOADING,702.63,-190.4
3,3326.392,3328.762,2.37,UNLOADING,652.5,180.89
2,3422.777,3425.112,2.34,GOING_TO_ENDPOINT,599.77,198.54
3,3469.232,3471.592,2.36,LOADING,702.51,-189.95
2,3533.592,3535.747,2.15,LOADING,702.7,-190.56
3,3638.647,3641.137,2.49,UNLOADING,652.5,180.06
2,3703.192,3705.782,2.59,UNLOADING,652.53,180.15
2,3744.922,3762.157,17.24,GOING_TO_ENDPOINT,598.85,198.93
2,3763.477,3781.287,17.81,GOING_TO_ENDPOINT,598.71,198.94
3,3784.657,3786.892,2.23,LOADING,702.55,-190.26
2,3782.507,3793.422,10.91,GOING_TO_ENDPOINT,598.39,198.93
2,3897.182,3899.437,2.26,LOADING,702.97,-190.98
3,3996.187,4000.962,4.78,GOING_TO_ENDPOINT,600.14,198.54
2,4208.942,4211.007,2.06,LOADING,702.58,-190.51
2,4413.367,4416.672,3.3,GOING_TO_ENDPOINT,600.27,198.47
3,4428.682,4430.767,2.09,LOADING,702.64,-190.55
2,4526.507,4528.812,2.31,LOADING,702.5,-189.94
3,4594.192,4596.387,2.19,UNLOADING,652.5,182.06
3,4633.682,4649.837,16.16,GOING_TO_ENDPOINT,599.13,198.78
3,4763.507,4765.747,2.24,LOADING,752.47,-190.16
3,4937.062,4939.242,2.18,UNLOADING,652.5,180.87
3,4980.047,4986.272,6.23,GOING_TO_ENDPOINT,599.34,198.88
3,5104.522,5106.872,2.35,LOADING,752.95,-191.57
2,5118.452,5124.937,6.48,GOING_TO_ENDPOINT,600.23,198.63
3,5282.872,5285.167,2.3,UNLOADING,652.5,181.19
3,5325.682,5330.482,4.8,GOING_TO_ENDPOINT,600.34,198.6
3,5446.877,5449.237,2.36,LOADING,752.51,-190.21
3,5665.657,5693.547,27.89,GOING_TO_ENDPOINT,600.4,198.59
3,5805.112,5807.477,2.36,LOADING,752.53,-190.38
2,5883.942,5893.932,9.99,GOING_TO_ENDPOINT,599.96,198.66
3,6141.112,6143.447,2.34,LOADING,752.62,-190.25
2,6270.302,6282.857,12.56,GOING_TO_ENDPOINT,599.93,198.73
3,6284.292,6288.447,4.15,RETURNING_TO_START,595.86,192.24
3,6327.492,6329.742,2.25,UNLOADING,652.5,179.97
3,6367.307,6370.562,3.26,GOING_TO_ENDPOINT,600.31,198.51
3,6479.002,6481.412,2.41,LOADING,752.5,-189.94
3,6661.587,6663.787,2.2,UNLOADING,659.62,176.02
2,6653.117,6678.132,25.01,GOING_TO_ENDPOINT,650.52,205.75
3,6682.262,6684.802,2.54,GOING_TO_ENDPOINT,647.84,209.29
3,6975.282,6977.897,2.61,RETURNING_TO_START,651.59,201.16
3,6991.007,6993.317,2.31,UNLOADING,652.5,180.98
3,7138.872,7141.037,2.16,LOADING,752.51,-190.04
3,7451.752,7453.927,2.17,LOADING,752.59,-190.15
3,7624.362,7626.497,2.14,UNLOADING,652.5,181.6
3,7661.142,7667.927,6.78,GOING_TO_ENDPOINT,600.08,198.66
3,7775.607,7777.637,2.03,LOADING,752.66,-190.43
3,7947.432,7949.537,2.11,UNLOADING,652.5,180.18
3,7969.942,7972.987,3.05,GOING_TO_ENDPOINT,648.37,206.05
2,6683.747,7973.997,1290.25,GOING_TO_ENDPOINT,649.82,207.76
2,8302.792,8306.372,3.58,RETURNING_TO_START,651.97,201.47
3,7977.687,8341.622,363.93,GOING_TO_ENDPOINT,648.44,206.93
3,8342.727,8719.202,376.47,GOING_TO_ENDPOINT,648.46,207.23
2,8717.797,8722.862,5.06,GOING_TO_ENDPOINT,647.64,206.19
3,8836.287,8838.607,2.32,LOADING,502.88,-190.99
2,8724.007,8985.442,261.43,GOING_TO_ENDPOINT,647.66,206.47
3,9001.857,9003.917,2.06,UNLOADING,652.5,180.54
3,9037.867,9041.132,3.26,GOING_TO_ENDPOINT,600.64,198.4
3,9150.752,9153.032,2.28,LOADING,502.58,-190.46
3,9347.812,9351.677,3.86,GOING_TO_ENDPOINT,641.8,201.07
2,9365.887,9368.232,2.34,UNLOADING,652.5,180.47
2,9406.387,9411.222,4.83,GOING_TO_ENDPOINT,599.44,198.7
3,9483.057,9485.362,2.3,LOADING,502.6,-190.16
3,9647.202,9649.417,2.22,UNLOADING,652.5,180.09
3,9966.092,9968.157,2.06,UNLOADING,652.5,180.56
3,10110.877,10113.087,2.21,LOADING,502.49,-190.16
3,10277.557,10279.762,2.2,UNLOADING,652.5,180.19
2,10280.912,10283.092,2.18,LOADING,502.67,-190.69
3,10316.432,10320.917,4.48,GOING_TO_ENDPOINT,600.31,198.54
2,10486.017,10488.562,2.55,GOING_TO_ENDPOINT,600.04,198.55
2,10597.047,10599.517,2.47,LOADING,502.59,-190.3
3,10749.292,10751.432,2.14,LOADING,502.8,-190.72
2,10806.617,10813.747,7.13,GOING_TO_ENDPOINT,599.93,198.69
2,10927.992,10930.232,2.24,LOADING,503.0,-192.17
3,10957.902,10964.762,6.86,GOING_TO_ENDPOINT,600.0,198.6
3,11075.807,11078.147,2.34,LOADING,502.59,-190.28
2,11246.222,11248.407,2.18,LOADING,452.54,-190.17
3,11129.257,11304.417,175.16,RETURNING_TO_START,548.66,-100.19
2,11417.832,11420.067,2.23,UNLOADING,652.54,179.74
2,11770.652,11793.067,22.41,GOING_TO_ENDPOINT,599.17,198.79
2,11906.692,11908.972,2.28,LOADING,452.64,-190.26
3,11305.552,11968.962,663.41,RETURNING_TO_START,548.76,-99.99
3,11970.027,11978.757,8.73,RETURNING_TO_START,548.87,-99.8
2,11973.852,11985.112,11.26,RETURNING_TO_START,550.31,-95.0
