sim_time_s,zone,trucks_queued,truck_ids,event_type
166.811,load_zone_22,2,2+3,ARRIVE_LOAD_ZONE
250.693,load_zone_22,2,2+3,ARRIVE_LOAD_ZONE
335.902,load_zone_22,2,2+3,ARRIVE_LOAD_ZONE
432.611,load_zone_22,2,2+3,ARRIVE_LOAD_ZONE
534.413,load_zone_22,2,2+3,ARRIVE_LOAD_ZONE
660.227,load_zone_22,2,2+3,ARRIVE_LOAD_ZONE
759.292,load_zone_23,2,3+2,ARRIVE_LOAD_ZONE
798.412,dump_zone_22,2,2+3,ARRIVE_DUMP_ZONE
808.042,dump_zone_23,2,3+2,ARRIVE_DUMP_ZONE
872.182,load_zone_23,2,3+2,ARRIVE_LOAD_ZONE
905.467,dump_zone_22,2,2+3,ARRIVE_DUMP_ZONE
920.61,dump_zone_23,2,3+2,ARRIVE_DUMP_ZONE
977.23,load_zone_23,2,3+2,ARRIVE_LOAD_ZONE
1018.856,dump_zone_22,2,2+3,ARRIVE_DUMP_ZONE
1024.683,dump_zone_23,2,3+2,ARRIVE_DUMP_ZONE
1071.936,load_zone_23,2,3+2,ARRIVE_LOAD_ZONE
1119.591,dump_zone_23,2,3+2,ARRIVE_DUMP_ZONE
1119.72,dump_zone_22,2,2+3,ARRIVE_DUMP_ZONE
1179.8,load_zone_23,2,2+3,ARRIVE_LOAD_ZONE
1223.391,dump_zone_22,3,2+3+2,ARRIVE_DUMP_ZONE
1228.147,dump_zone_23,2,2+3,ARRIVE_DUMP_ZONE
1516.385,load_zone_1,2,2+3,ARRIVE_LOAD_ZONE
1847.347,load_zone_26,2,3+1,ARRIVE_LOAD_ZONE
1891.442,load_zone_22,3,2+3+2,ARRIVE_LOAD_ZONE
1954.378,dump_zone_22,2,3+2,ARRIVE_DUMP_ZONE
1975.804,dump_zone_3,2,3+1,ARRIVE_DUMP_ZONE
2000.463,load_zone_22,2,3+2,ARRIVE_LOAD_ZONE
2082.599,load_zone_26,2,3+1,ARRIVE_LOAD_ZONE
2206.987,dump_zone_3,2,3+1,ARRIVE_DUMP_ZONE
2327.061,load_zone_26,2,3+1,ARRIVE_LOAD_ZONE
2719.842,load_zone_26,3,3+1+2,ARRIVE_LOAD_ZONE
2750.253,load_zone_22,3,3+2+1,ARRIVE_LOAD_ZONE
2822.73,dump_zone_22,2,3+1,ARRIVE_DUMP_ZONE
2823.383,load_zone_22,4,3+2+1+3,ARRIVE_LOAD_ZONE
2869.149,dump_zone_22,2,1+3,ARRIVE_DUMP_ZONE
2871.886,load_zone_22,4,3+2+3+1,ARRIVE_LOAD_ZONE
3150.832,load_zone_26,3,3+1+3,ARRIVE_LOAD_ZONE
3162.967,load_zone_22,3,2+1+1,ARRIVE_LOAD_ZONE
