method,seed,trips,reward,mean_duration,throughput,queue_wait,fuel,balance,wall_s
a,3,10000,-293.65,288.44,93.43,10.879,0.7848,3.536,47.2
a,3,20000,-287.81,281.68,94.53,10.478,0.7846,3.536,135.8
a,3,30000,-288.72,284.39,93.7,10.816,0.7848,3.536,227.0
a,3,40000,-286.35,281.08,94.42,9.411,0.7842,3.536,321.7
a,3,50000,-288.22,281.59,94.63,10.133,0.7845,3.536,419.0
a,3,60000,-284.92,277.44,96.41,10.029,0.7849,3.536,518.4
a,3,70000,-280.27,273.4,96.79,8.972,0.7848,3.536,620.4
a,3,80000,-283.89,277.36,96.12,8.63,0.7845,3.536,720.0
a,3,90000,-283.06,277.34,95.6,7.839,0.7857,3.536,821.0
a,3,100000,-283.44,278.29,95.35,7.319,0.7855,3.536,921.8
