method,seed,trips,reward,mean_duration,throughput,queue_wait,fuel,balance,wall_s
b,3,10000,-279.1,272.42,97.74,6.043,0.7849,3.536,91.3
b,3,20000,-273.75,266.12,100.32,6.799,0.7854,3.536,193.5
b,3,30000,-262.8,256.32,103.82,3.975,0.7836,3.536,296.9
b,3,40000,-266.55,260.73,102.18,4.021,0.784,3.536,402.8
b,3,50000,-267.54,261.76,101.82,5.467,0.7853,3.536,511.5
b,3,60000,-278.32,268.38,98.98,5.901,0.7844,3.536,622.1
b,3,70000,-270.38,261.01,102.96,4.535,0.7846,3.536,732.9
b,3,80000,-274.52,267.05,99.55,5.743,0.7849,3.536,844.7
b,3,90000,-272.85,263.2,100.24,5.686,0.7853,3.536,956.0
b,3,100000,-275.9,265.36,99.92,5.556,0.7842,3.536,1066.0
