method,seed,trips,reward,mean_duration,throughput,queue_wait,fuel,balance,wall_s
c,2,10000,-269.63,263.94,102.2,2.854,0.7842,3.536,123.2
c,2,20000,-271.7,266.92,100.05,3.686,0.7839,3.536,270.3
c,2,30000,-266.98,260.65,101.96,4.312,0.7845,3.536,434.7
c,2,40000,-271.76,266.51,99.51,3.504,0.7845,3.536,619.2
c,2,50000,-273.37,269.19,99.87,4.504,0.7839,3.536,821.6
c,2,60000,-271.44,265.02,100.5,3.733,0.7844,3.536,1040.4
c,2,70000,-263.28,256.99,104.01,4.018,0.7846,3.536,1268.7
c,2,80000,-274.59,268.31,100.07,4.068,0.7844,3.536,1497.0
c,2,90000,-267.63,260.55,102.74,2.621,0.785,3.536,1724.4
c,2,100000,-263.81,257.15,103.24,3.466,0.7851,3.536,1928.7
