method,seed,trips,reward,mean_duration,throughput,queue_wait,fuel,balance,wall_s
d,4,10000,-278.8,271.1,98.21,6.932,0.7859,3.536,71.3
d,4,20000,-269.44,263.11,101.91,5.749,0.7928,3.536,112.6
d,4,30000,-283.49,279.69,96.75,9.883,0.7892,3.536,139.5
d,4,40000,-283.04,275.41,98.27,6.275,0.7892,3.536,165.9
d,4,50000,-275.38,267.02,99.47,6.867,0.7888,3.536,189.6
d,4,60000,-283.0,272.97,97.7,7.127,0.7903,3.536,216.0
d,4,70000,-276.34,266.53,99.69,6.466,0.7904,3.536,241.3
d,4,80000,-273.41,263.16,100.93,4.732,0.7898,3.536,266.6
d,4,90000,-272.13,262.09,101.68,4.664,0.7937,3.536,294.1
d,4,100000,-271.27,262.39,101.34,4.791,0.788,3.536,321.0
