trip_id,run_id,truck_id,load_zone,dump_zone,depart_time_s,arrive_load_s,load_complete_s,depart_load_s,arrive_dump_s,unload_complete_s,travel_to_mine_s,load_wait_s,queue_wait_service_s,travel_to_dump_s,unload_wait_s,total_trip_duration_s,cargo_kg,fuel_L,co2_kg
1,1,0,load_zone_22,dump_zone_23,23.22,70.78,73.73,75.73,119.34,122.34,47.56,2.95,0.0,43.61,3.0,99.12,1000.0,0.3035,0.8134
2,1,1,load_zone_22,dump_zone_23,30.76,87.58,90.59,92.59,138.45,141.62,56.82,3.01,0.0,45.86,3.17,110.86,1000.0,0.3473,0.9308
3,1,2,load_zone_22,dump_zone_23,30.92,80.36,93.45,95.45,139.89,144.75,49.44,13.09,10.23,44.44,4.86,113.83,1000.0,0.3301,0.8848
4,1,0,load_zone_22,dump_zone_23,122.34,174.64,177.83,179.83,220.65,223.62,52.3,3.18,0.0,40.82,2.98,101.28,1000.0,0.3176,0.8511
5,1,1,load_zone_22,dump_zone_23,141.62,193.21,196.27,198.27,243.28,246.34,51.59,3.05,0.0,45.01,3.06,104.72,1000.0,0.3461,0.9275
6,1,2,load_zone_22,dump_zone_23,144.75,206.94,209.86,211.86,253.63,256.5,62.19,2.92,0.0,41.77,2.88,111.75,1000.0,0.3522,0.944
7,1,0,load_zone_22,dump_zone_23,223.62,281.51,284.38,286.38,329.16,332.03,57.88,2.87,0.0,42.78,2.88,108.41,1000.0,0.3534,0.9471
8,1,1,load_zone_22,dump_zone_23,246.34,302.58,305.48,307.48,352.53,355.57,56.25,2.9,0.0,45.05,3.03,109.23,1000.0,0.3357,0.8996
9,1,2,load_zone_22,dump_zone_23,256.5,310.52,313.56,315.56,361.74,364.84,54.02,3.03,0.0,46.18,3.1,108.33,1000.0,0.334,0.8952
10,1,0,load_zone_22,dump_zone_23,332.03,386.35,389.13,391.13,436.48,439.44,54.32,2.78,0.0,45.35,2.95,107.4,1000.0,0.3162,0.8474
11,1,1,load_zone_23,dump_zone_22,355.57,404.04,407.27,409.27,461.27,464.14,48.48,3.22,0.0,52.0,2.87,108.57,1000.0,0.3931,1.0535
12,1,2,load_zone_23,dump_zone_22,364.84,409.05,412.07,414.07,465.82,468.91,44.21,3.02,0.0,51.75,3.09,104.07,1000.0,0.3839,1.0288
13,1,0,load_zone_23,dump_zone_22,439.44,493.77,496.7,498.7,550.39,553.51,54.33,2.93,0.0,51.69,3.13,114.08,1000.0,0.3515,0.9421
14,1,1,load_zone_23,dump_zone_22,464.14,510.01,512.88,514.88,563.23,566.3,45.88,2.86,0.0,48.35,3.07,102.16,1000.0,0.3635,0.9742
15,1,2,load_zone_23,dump_zone_22,468.91,522.82,525.84,527.84,579.2,582.29,53.91,3.02,0.0,51.35,3.09,113.38,1000.0,0.3473,0.9308
16,1,0,load_zone_23,dump_zone_22,553.51,606.47,609.42,611.42,661.77,664.71,52.96,2.95,0.0,50.35,2.94,111.2,1000.0,0.3155,0.8457
17,1,1,load_zone_23,dump_zone_22,566.3,619.38,622.38,624.38,675.56,678.63,53.08,3.0,0.0,51.17,3.07,112.33,1000.0,0.3744,1.0034
18,1,2,load_zone_23,dump_zone_22,582.29,636.1,639.04,641.04,693.79,696.77,53.81,2.94,0.0,52.75,2.99,114.49,1000.0,0.2979,0.7984
19,1,0,load_zone_23,dump_zone_22,664.71,709.89,712.74,714.74,762.28,765.34,45.18,2.85,0.0,47.54,3.06,100.63,1000.0,0.3259,0.8735
20,1,1,load_zone_23,dump_zone_22,678.63,728.17,731.12,733.12,791.82,794.93,49.54,2.95,0.0,58.7,3.11,116.3,1000.0,0.3249,0.8708
21,1,2,load_zone_1,dump_zone_2,696.77,791.54,794.49,796.49,870.86,873.99,94.77,2.95,0.0,74.37,3.13,177.21,1000.0,0.4861,1.3029
22,1,0,load_zone_1,dump_zone_2,765.34,865.04,867.95,869.95,951.97,954.76,99.7,2.91,0.0,82.02,2.78,189.41,1000.0,0.5919,1.5863
23,1,1,load_zone_1,dump_zone_2,794.93,887.19,890.2,892.2,974.19,977.43,92.27,3.0,0.0,81.99,3.24,182.5,1000.0,0.5736,1.5372
24,1,2,load_zone_1,dump_zone_2,873.99,962.45,965.48,967.48,1049.13,1052.33,88.46,3.03,0.0,81.64,3.2,178.34,1000.0,0.6367,1.7064
25,1,0,load_zone_1,dump_zone_2,954.76,1053.86,1056.68,1058.68,1148.59,1151.5,99.1,2.82,0.0,89.91,2.9,196.74,1000.0,0.5332,1.429
26,1,1,load_zone_1,dump_zone_2,977.43,1070.77,1073.87,1075.87,1147.49,1154.46,93.35,3.1,0.0,71.63,6.97,177.04,1000.0,0.5012,1.3433
27,1,2,load_zone_1,dump_zone_2,1052.33,1140.85,1143.98,1145.98,1228.49,1231.79,88.52,3.13,0.0,82.51,3.3,179.46,1000.0,0.7589,2.0338
28,1,0,load_zone_1,dump_zone_2,1151.5,1251.04,1253.72,1255.72,1329.84,1332.88,99.54,2.68,0.0,74.12,3.04,181.38,1000.0,0.5399,1.4469
29,1,1,load_zone_1,dump_zone_2,1154.46,1247.61,1256.7,1258.7,1335.25,1338.41,93.15,9.09,6.11,76.55,3.16,183.95,1000.0,0.5969,1.5996
30,1,2,load_zone_1,dump_zone_2,1231.79,1326.91,1329.66,1331.66,1405.48,1408.41,95.13,2.75,0.0,73.82,2.93,176.62,1000.0,0.5845,1.5664
31,1,0,load_zone_26,load_zone_29,1332.88,1462.53,1465.68,1467.68,1546.16,1549.09,129.66,3.15,0.0,78.48,2.93,216.21,1000.0,0.5563,1.4909
32,1,1,load_zone_2,dump_zone_2,1338.41,1444.88,1448.2,1450.2,1532.07,1534.95,106.47,3.32,0.0,81.87,2.88,196.54,1000.0,0.7332,1.9649
33,1,2,load_zone_26,load_zone_29,1408.41,1513.8,1516.85,1518.85,1602.31,1605.29,105.38,3.06,0.0,83.46,2.98,196.88,1000.0,0.6285,1.6845
34,1,1,load_zone_26,load_zone_29,1534.95,1642.59,1645.52,1647.52,1727.96,1730.78,107.64,2.93,0.0,80.44,2.82,195.83,1000.0,0.5504,1.4752
35,1,0,load_zone_26,load_zone_29,1549.09,1664.25,1667.27,1669.27,1756.75,1759.73,115.16,3.02,0.0,87.48,2.98,210.65,1000.0,0.6491,1.7397
36,1,2,load_zone_26,load_zone_29,1605.29,1730.75,1733.68,1735.68,1814.72,1817.88,125.46,2.94,0.0,79.03,3.17,212.6,1000.0,0.6582,1.7639
37,1,1,load_zone_26,load_zone_29,1730.78,1858.32,1861.14,1863.14,1941.95,1944.74,127.55,2.82,0.0,78.81,2.79,213.97,1000.0,0.7353,1.9706
38,1,0,load_zone_26,load_zone_29,1759.73,1888.99,1891.93,1893.93,1970.48,1973.7,129.25,2.94,0.0,76.55,3.22,213.97,1000.0,0.5612,1.5041
39,1,2,load_zone_26,load_zone_29,1817.88,1923.34,1926.28,1928.28,2009.95,2012.95,105.46,2.94,0.0,81.67,3.0,195.07,1000.0,0.6208,1.6637
40,1,1,load_zone_26,load_zone_29,1944.74,2061.4,2064.41,2066.41,2152.83,2155.93,116.66,3.01,0.0,86.42,3.1,211.18,1000.0,0.5017,1.3446
41,1,0,load_zone_26,load_zone_29,1973.7,2086.85,2089.67,2091.67,2164.1,2166.97,113.15,2.82,0.0,72.43,2.87,193.26,1000.0,0.61,1.6348
42,1,2,load_zone_27,dump_zone_3,2012.95,2173.7,2176.7,2178.7,2324.43,2327.36,160.75,3.0,0.0,145.73,2.93,314.41,1000.0,0.9958,2.6688
43,1,1,load_zone_27,dump_zone_3,2155.93,2317.72,2320.92,2322.92,2492.96,2495.94,161.79,3.2,0.0,170.04,2.98,340.01,1000.0,0.9579,2.5672
