trip_id,run_id,truck_id,load_zone,dump_zone,depart_time_s,arrive_load_s,load_complete_s,depart_load_s,arrive_dump_s,unload_complete_s,travel_to_mine_s,load_wait_s,queue_wait_service_s,travel_to_dump_s,unload_wait_s,total_trip_duration_s,cargo_kg,fuel_L,co2_kg
1,1,0,load_zone_22,dump_zone_23,23.22,76.59,79.66,81.66,128.72,131.59,53.37,3.07,0.0,47.06,2.87,108.37,1000.0,0.344,0.922
2,1,5,load_zone_22,dump_zone_23,28.84,77.86,82.65,84.65,130.86,134.57,49.02,4.79,1.8,46.2,3.71,105.72,1000.0,0.3092,0.8287
3,1,1,load_zone_22,dump_zone_23,30.76,89.04,91.98,93.98,136.61,139.56,58.28,2.94,0.0,42.64,2.95,108.8,1000.0,0.3495,0.9366
4,1,2,load_zone_22,dump_zone_23,30.92,85.56,95.04,97.04,141.64,144.96,54.64,9.48,6.41,44.6,3.32,114.04,1000.0,0.3183,0.8531
5,1,4,load_zone_22,dump_zone_23,42.83,93.75,98.13,100.13,140.49,148.13,50.91,4.38,1.29,40.36,7.63,105.29,1000.0,0.328,0.8791
6,1,6,load_zone_22,dump_zone_23,43.51,93.03,101.23,103.23,143.55,151.24,49.52,8.2,5.1,40.32,7.68,107.73,1000.0,0.3498,0.9375
7,1,3,load_zone_22,dump_zone_23,44.27,94.53,104.25,106.25,150.22,154.27,50.26,9.72,6.7,43.97,4.05,110.0,1000.0,0.3607,0.9667
8,1,7,load_zone_22,dump_zone_23,62.8,116.84,119.85,121.85,167.37,170.41,54.04,3.01,0.0,45.51,3.04,107.61,1000.0,0.3527,0.9454
9,1,0,load_zone_22,dump_zone_23,131.59,178.49,181.42,183.42,225.49,228.39,46.9,2.93,0.0,42.07,2.9,96.8,1000.0,0.3227,0.8648
10,1,5,load_zone_22,dump_zone_23,134.57,194.0,197.15,199.15,239.33,242.08,59.44,3.15,0.0,40.18,2.75,107.51,1000.0,0.3207,0.8594
11,1,1,load_zone_23,dump_zone_22,139.56,191.31,194.42,196.42,252.09,255.2,51.76,3.11,0.0,55.66,3.12,115.64,1000.0,0.3459,0.927
12,1,2,load_zone_23,dump_zone_22,144.96,194.16,197.39,199.39,256.21,259.02,49.2,3.24,0.26,56.82,2.81,114.06,1000.0,0.3178,0.8517
13,1,4,load_zone_23,dump_zone_22,148.13,195.46,200.41,202.41,257.7,262.12,47.33,4.96,1.93,55.28,4.43,114.0,1000.0,0.3431,0.9195
14,1,6,load_zone_23,dump_zone_22,151.24,202.98,205.93,207.93,263.76,266.83,51.74,2.95,0.0,55.83,3.07,115.59,1000.0,0.3347,0.8969
15,1,3,load_zone_23,dump_zone_22,154.27,203.88,208.75,210.75,262.3,269.9,49.61,4.87,2.05,51.55,7.61,115.63,1000.0,0.3416,0.9154
16,1,7,load_zone_23,dump_zone_22,170.41,221.55,224.62,226.62,281.83,284.93,51.14,3.07,0.0,55.21,3.1,114.52,1000.0,0.3549,0.9511
17,1,0,load_zone_23,dump_zone_22,228.39,277.75,280.5,282.5,335.33,338.11,49.36,2.75,0.0,52.83,2.78,109.72,1000.0,0.311,0.8335
18,1,5,load_zone_23,dump_zone_22,242.08,289.09,291.96,293.96,348.83,351.77,47.01,2.86,0.0,54.87,2.94,109.69,1000.0,0.405,1.0853
19,1,1,load_zone_23,dump_zone_22,255.2,304.84,307.7,309.7,366.0,368.97,49.63,2.86,0.0,56.31,2.97,113.77,1000.0,0.3244,0.8693
20,1,2,load_zone_23,dump_zone_22,259.02,308.73,311.47,313.47,370.21,373.28,49.7,2.74,0.0,56.74,3.07,114.25,1000.0,0.3669,0.9833
21,1,4,load_zone_1,dump_zone_2,262.12,353.89,356.91,358.91,430.08,433.0,91.77,3.01,0.0,71.18,2.92,170.88,1000.0,0.6013,1.6115
