trip_id,run_id,session_key,truck_id,trip_number,load_zone,dump_zone,depart_time_s,arrive_load_s,load_complete_s,depart_load_s,arrive_dump_s,unload_complete_s,travel_to_mine_s,load_wait_s,travel_to_dump_s,unload_wait_s,total_trip_duration_s,cargo_kg,fuel_L,co2_kg
1,1,20260523_125918,2,1,load_zone_22,dump_zone_22,,137.476,140.519,142.594,184.885,187.915,,3.04,42.29,3.03,185.86,1000.0,0.6114,1.639016
2,1,20260523_125918,3,1,load_zone_22,dump_zone_23,,166.811,169.831,170.802,210.24,213.289,,3.02,39.44,3.05,211.23,1000.0,0.6906,1.851297
3,1,20260523_125918,1,1,load_zone_26,dump_zone_3,,118.241,121.263,126.888,243.946,247.049,,3.02,117.06,3.1,244.99,1000.0,0.809,2.168793
4,1,20260523_125918,2,2,load_zone_22,dump_zone_22,188.979,230.796,233.821,234.744,284.299,287.326,41.82,3.03,49.55,3.03,99.41,1000.0,0.3229,0.865792
5,1,20260523_125918,3,2,load_zone_22,dump_zone_23,215.554,250.693,253.739,254.62,295.306,298.339,35.14,3.05,40.69,3.03,85.05,1000.0,0.2791,0.748243
6,1,20260523_125918,2,3,load_zone_22,dump_zone_22,288.675,331.831,335.003,335.793,383.134,386.154,43.16,3.17,47.34,3.02,98.83,1000.0,0.3203,0.858815
7,1,20260523_125918,3,3,load_zone_22,dump_zone_23,300.507,335.902,338.961,341.78,393.506,396.534,35.39,3.06,51.73,3.03,98.2,1000.0,0.3212,0.861363
8,1,20260523_125918,1,2,load_zone_26,dump_zone_3,251.727,345.554,348.646,353.835,471.578,474.658,93.83,3.09,117.74,3.08,227.61,1000.0,0.746,1.99975
9,1,20260523_125918,3,4,load_zone_22,dump_zone_23,397.358,432.611,435.657,439.444,492.871,495.911,35.25,3.05,53.43,3.04,99.38,1000.0,0.3222,0.863811
10,1,20260523_125918,3,5,load_zone_22,dump_zone_23,498.415,534.413,537.441,538.765,621.262,624.288,36.0,3.03,82.5,3.03,128.38,1000.0,0.4197,1.125356
11,1,20260523_125918,2,4,load_zone_22,dump_zone_22,391.002,431.464,434.592,435.621,683.089,686.152,40.46,3.13,247.47,3.06,300.0,1000.0,0.925,2.480688
12,1,20260523_125918,1,3,load_zone_26,dump_zone_3,480.416,576.188,579.21,583.781,698.626,701.646,95.77,3.02,114.85,3.02,226.99,1000.0,0.7459,1.999724
13,1,20260523_125918,3,6,load_zone_22,dump_zone_23,625.111,660.227,663.249,664.282,704.904,707.922,35.12,3.02,40.62,3.02,83.63,1000.0,0.2749,0.737043
14,1,20260523_125918,3,7,load_zone_23,dump_zone_22,709.187,747.611,750.739,755.173,798.412,801.458,38.42,3.13,43.24,3.05,93.54,1000.0,0.3062,0.820998
15,1,20260523_125918,2,5,load_zone_23,dump_zone_23,687.421,759.292,762.311,768.098,808.042,811.085,71.87,3.02,39.94,3.04,124.93,1000.0,0.4031,1.080838
16,1,20260523_125918,3,8,load_zone_23,dump_zone_22,802.644,859.022,862.092,863.047,905.467,908.551,56.38,3.07,42.42,3.08,107.09,1000.0,0.3499,0.937958
17,1,20260523_125918,2,6,load_zone_23,dump_zone_23,813.765,872.182,875.252,880.906,920.61,923.627,58.42,3.07,39.7,3.02,112.54,1000.0,0.3653,0.97917
18,1,20260523_125918,1,4,load_zone_26,dump_zone_3,706.35,804.309,807.335,812.62,930.794,933.82,97.96,3.03,118.17,3.03,232.17,1000.0,0.7603,2.038043
19,1,20260523_125918,3,9,load_zone_23,dump_zone_22,913.773,965.33,968.497,974.38,1018.856,1021.883,51.56,3.17,44.48,3.03,113.33,1000.0,0.369,0.989179
20,1,20260523_125918,2,7,load_zone_23,dump_zone_23,926.351,977.23,980.284,985.41,1024.683,1027.704,50.88,3.05,39.27,3.02,104.08,1000.0,0.3374,0.904502
21,1,20260523_125918,2,8,load_zone_23,dump_zone_23,1030.174,1071.936,1074.968,1077.045,1119.591,1122.65,41.76,3.03,42.55,3.06,94.95,1000.0,0.3117,0.835718
22,1,20260523_125918,3,10,load_zone_23,dump_zone_22,1022.89,1068.708,1071.734,1074.52,1119.72,1122.748,45.82,3.03,45.2,3.03,100.87,1000.0,0.3303,0.885484
23,1,20260523_125918,1,5,load_zone_26,dump_zone_3,938.077,1035.185,1038.25,1042.677,1160.593,1163.664,97.11,3.07,117.92,3.07,229.84,1000.0,0.7534,2.01981
24,1,20260523_125918,2,9,load_zone_23,dump_zone_22,1126.08,1177.293,1074.968,1077.045,1223.391,1226.437,51.21,-102.32,146.35,3.05,103.79,1000.0,0.339,0.908702
25,1,20260523_125918,3,11,load_zone_23,dump_zone_23,1124.217,1179.8,1182.866,1187.966,1228.147,1231.169,55.58,3.07,40.18,3.02,108.42,1000.0,0.3524,0.944752
26,1,20260523_125918,1,6,load_zone_26,dump_zone_3,1168.319,1266.723,1269.755,1275.32,1391.3,1394.349,98.4,3.03,115.98,3.05,230.69,1000.0,0.7569,2.029096
27,1,20260523_125918,2,10,load_zone_1,dump_zone_1,1228.332,1329.141,1332.164,1337.387,1423.724,1426.752,100.81,3.02,86.34,3.03,200.32,1000.0,0.6531,1.751011
28,1,20260523_125918,3,12,load_zone_2,dump_zone_2,1233.776,1337.387,1340.413,1345.705,1429.62,1432.663,103.61,3.03,83.91,3.04,201.49,1000.0,0.658,1.764153
29,1,20260523_125918,3,13,load_zone_1,dump_zone_2,1437.468,1516.385,1519.503,1524.178,1604.656,1607.699,78.92,3.12,80.48,3.04,175.04,1000.0,0.5631,1.509522
30,1,20260523_125918,2,11,load_zone_1,dump_zone_1,1429.142,1509.937,1513.117,1517.969,1616.906,1619.932,80.79,3.18,98.94,3.03,193.18,1000.0,0.6193,1.660221
31,1,20260523_125918,1,7,load_zone_26,dump_zone_3,1398.859,1494.591,1497.639,1503.065,1620.763,1623.831,95.73,3.05,117.7,3.07,229.48,1000.0,0.7527,2.0178
32,2,20260523_131329,2,1,load_zone_22,dump_zone_22,,1891.442,1894.51,1895.809,1954.378,1957.42,,3.07,58.57,3.04,224.21,1000.0,0.7306,1.958566
33,2,20260523_131329,3,1,load_zone_26,dump_zone_3,,1836.564,1839.616,1844.923,1965.772,1968.843,,3.05,120.85,3.07,235.63,1000.0,0.7786,2.087249
34,2,20260523_131329,1,1,load_zone_26,dump_zone_3,,1847.347,1850.373,1854.429,1975.804,1978.896,,3.03,121.38,3.09,245.69,1000.0,0.8129,2.17925
35,2,20260523_131329,3,2,load_zone_26,dump_zone_3,1973.312,2068.339,2071.391,2076.455,2197.461,2200.589,95.03,3.05,121.01,3.13,231.75,1000.0,0.7585,2.033641
36,2,20260523_131329,1,2,load_zone_26,dump_zone_3,1982.674,2082.599,2085.633,2089.129,2206.987,2210.051,99.93,3.03,117.86,3.06,231.16,1000.0,0.7577,2.031462
37,3,20260523_132744,1,1,load_zone_22,dump_zone_22,,2750.253,2753.272,2754.023,2822.73,2825.791,,3.02,68.71,3.06,216.21,1000.0,0.7018,1.881442
38,3,20260523_132744,2,1,load_zone_26,dump_zone_3,,2719.842,2722.86,2728.246,2846.01,2849.028,,3.02,117.76,3.02,239.45,1000.0,0.7964,2.134854
39,3,20260523_132744,3,1,load_zone_22,dump_zone_22,,2823.383,2826.432,2827.186,2869.149,2872.169,,3.05,41.96,3.02,262.59,1000.0,0.8591,2.303076
40,4,20260523_134009,3,1,load_zone_26,dump_zone_3,,3150.832,3154.247,3159.762,3324.382,3328.037,,3.41,164.62,3.65,368.78,1000.0,1.1871,3.181519
41,4,20260523_134009,2,1,load_zone_26,dump_zone_3,,3213.572,3216.997,3222.942,3381.817,3385.307,,3.42,158.88,3.49,426.05,1000.0,1.3726,3.678656
42,4,20260523_134009,3,2,load_zone_26,dump_zone_3,3334.347,3467.342,3470.877,3477.002,3637.237,3640.607,132.99,3.53,160.24,3.37,312.57,1000.0,1.0041,2.691036
43,4,20260523_134009,2,2,load_zone_26,dump_zone_3,3391.517,3532.032,3535.747,3541.352,3701.892,3705.372,140.52,3.71,160.54,3.48,320.06,1000.0,1.0273,2.753201
44,4,20260523_134009,3,3,load_zone_26,dump_zone_3,3646.877,3782.507,3785.932,3792.072,3952.757,3956.382,135.63,3.42,160.68,3.62,315.77,1000.0,1.0142,2.718125
45,4,20260523_134009,2,3,load_zone_26,dump_zone_3,3711.607,3895.147,3898.692,3904.137,4062.312,4065.657,183.54,3.55,158.17,3.35,360.28,1000.0,1.1469,3.073819
46,4,20260523_134009,3,4,load_zone_26,dump_zone_3,3962.707,4105.827,4109.162,4114.722,4275.397,4278.737,143.12,3.34,160.68,3.34,322.35,1000.0,1.0327,2.767561
47,4,20260523_134009,2,4,load_zone_26,dump_zone_3,4071.932,4207.332,4210.782,4216.717,4369.012,4372.837,135.4,3.45,152.3,3.83,307.18,1000.0,0.9908,2.655367
48,4,20260523_134009,3,5,load_zone_26,dump_zone_3,4285.042,4426.982,4430.342,4436.062,4591.902,4595.762,141.94,3.36,155.84,3.86,317.03,1000.0,1.0162,2.723468
49,4,20260523_134009,2,5,load_zone_26,dump_zone_3,4379.077,4525.142,4528.542,4534.892,4691.467,4694.872,146.06,3.4,156.57,3.41,322.04,1000.0,1.0334,2.769637
50,4,20260523_134009,3,6,load_zone_29,dump_zone_3,4601.947,4761.517,4765.072,4771.262,4935.612,4938.947,159.57,3.56,164.35,3.34,343.19,1000.0,1.1,2.948095
51,4,20260523_134009,2,6,load_zone_25,dump_zone_3,4701.002,4872.102,4875.327,4881.197,5078.802,5082.432,171.1,3.23,197.6,3.63,387.56,1000.0,1.2446,3.335447
52,4,20260523_134009,3,7,load_zone_29,dump_zone_3,4945.247,5103.082,5106.427,5112.097,5280.772,5284.457,157.84,3.34,168.68,3.69,345.51,1000.0,1.1076,2.968329
53,4,20260523_134009,2,7,load_zone_25,dump_zone_3,5088.622,5263.767,5267.262,5272.992,5461.972,5465.277,175.14,3.49,188.98,3.31,382.85,1000.0,1.2265,3.287026
54,4,20260523_134009,3,8,load_zone_29,dump_zone_3,5290.587,5445.357,5448.942,5455.157,5623.857,5627.707,154.77,3.59,168.7,3.85,343.25,1000.0,1.1016,2.952369
55,4,20260523_134009,2,8,load_zone_25,dump_zone_3,5471.537,5640.152,5643.792,5649.677,5840.767,5844.517,168.61,3.64,191.09,3.75,379.24,1000.0,1.2167,3.260687
56,4,20260523_134009,3,9,load_zone_29,dump_zone_3,5634.057,5803.627,5807.152,5812.987,5982.382,5986.037,169.57,3.52,169.39,3.66,358.33,1000.0,1.1478,3.076117
57,4,20260523_134009,2,9,load_zone_25,dump_zone_3,5850.957,6030.367,6033.947,6039.587,6229.987,6233.397,179.41,3.58,190.4,3.41,388.88,1000.0,1.2455,3.338003
58,4,20260523_134009,3,10,load_zone_29,dump_zone_3,5992.287,6139.967,6143.447,6149.422,6326.122,6329.377,147.68,3.48,176.7,3.26,343.34,1000.0,1.101,2.950579
59,4,20260523_134009,2,10,load_zone_25,dump_zone_3,6239.637,6426.872,6430.432,6436.532,6629.087,6632.547,187.24,3.56,192.56,3.46,399.15,1000.0,1.2768,3.421775
60,4,20260523_134009,3,11,load_zone_29,dump_zone_3,6335.882,6477.142,6480.557,6486.922,6659.977,6663.227,141.26,3.41,173.06,3.25,333.85,1000.0,1.0749,2.880658
61,4,20260523_134009,3,12,load_zone_29,dump_zone_3,6664.277,6813.852,6817.267,6823.262,6989.117,6992.642,149.57,3.41,165.86,3.52,329.42,1000.0,1.0593,2.839027
62,4,20260523_134009,3,13,load_zone_29,dump_zone_3,6998.727,7137.472,7140.657,7146.987,7306.512,7309.892,138.74,3.19,159.52,3.38,317.25,1000.0,1.0202,2.734149
63,4,20260523_134009,3,14,load_zone_29,dump_zone_3,7316.112,7450.067,7453.252,7459.227,7622.762,7626.072,133.95,3.19,163.53,3.31,316.18,1000.0,1.0194,2.732018
64,4,20260523_134009,3,15,load_zone_29,dump_zone_3,7632.347,7774.342,7777.637,7783.592,7945.997,7949.357,141.99,3.3,162.41,3.36,323.29,1000.0,1.0401,2.787484
65,4,20260523_134009,2,11,load_zone_25,dump_zone_3,6638.752,8120.352,8123.577,8129.377,8318.177,8321.727,1481.6,3.23,188.8,3.55,1689.18,1000.0,5.1458,13.790703
66,4,20260523_134009,2,12,load_zone_25,dump_zone_3,8327.857,8499.702,8503.062,8509.222,8693.452,8696.817,171.84,3.36,184.23,3.36,375.09,1000.0,1.2042,3.227395
67,4,20260523_134009,3,16,load_zone_24,dump_zone_3,7955.617,8834.757,8838.157,8843.617,8999.892,9003.337,879.14,3.4,156.27,3.44,1053.98,1000.0,3.2276,8.650003
68,4,20260523_134009,3,17,load_zone_24,dump_zone_3,9009.447,9149.142,9152.412,9158.307,9318.987,9322.492,139.69,3.27,160.68,3.51,319.15,1000.0,1.0247,2.746119
