sim_time_s,wall_time,truck_id,x_m,y_m,speed_kmh,accel_ms2,cargo_kg,op_state,current_node,target_node,fuel_L_step,co2_kg_step
4.708,2026-07-08T12:50:19.997,1,748.096,202.083,16.949,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_5,load_zone_26,0.017827,0.047776
4.708,2026-07-08T12:50:19.997,2,689.675,149.614,16.949,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_7,load_zone_26,0.017827,0.047776
4.708,2026-07-08T12:50:19.997,3,701.904,297.917,16.949,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_10,load_zone_26,0.017827,0.047776
5.867,2026-07-08T12:50:21.007,1,743.408,205.015,20.406,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_5,load_zone_26,0.000667,0.001788
5.867,2026-07-08T12:50:21.007,2,692.114,154.631,20.735,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_7,load_zone_26,0.00067,0.001796
5.867,2026-07-08T12:50:21.007,3,703.231,292.491,18.181,-0.159,0.0,GOING_TO_ENDPOINT,dump_zone_10,load_zone_26,0.000511,0.001369
6.953,2026-07-08T12:50:22.168,1,738.483,200.542,24.316,1.0,0.0,GOING_TO_ENDPOINT,dump_zone_5,load_zone_26,0.001011,0.002709
6.953,2026-07-08T12:50:22.168,2,697.046,159.404,24.428,0.755,0.0,GOING_TO_ENDPOINT,dump_zone_7,load_zone_26,0.000956,0.002562
6.953,2026-07-08T12:50:22.168,3,699.259,289.815,16.355,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_10,load_zone_26,0.000735,0.00197
8.013,2026-07-08T12:50:23.232,1,731.971,196.696,27.007,0.318,0.0,GOING_TO_ENDPOINT,dump_zone_5,load_zone_26,0.000828,0.002219
8.013,2026-07-08T12:50:23.232,2,697.249,166.445,24.87,-0.305,0.0,GOING_TO_ENDPOINT,dump_zone_7,load_zone_26,0.000702,0.001881
8.013,2026-07-08T12:50:23.232,3,695.697,292.217,14.644,-0.266,0.0,GOING_TO_ENDPOINT,dump_zone_10,load_zone_26,0.000702,0.001881
9.039,2026-07-08T12:50:24.361,1,724.435,197.104,26.01,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_5,load_zone_26,0.000819,0.002195
9.039,2026-07-08T12:50:24.361,2,696.583,172.847,23.023,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_7,load_zone_26,0.000819,0.002195
9.039,2026-07-08T12:50:24.361,3,692.471,295.066,16.038,0.76,0.0,GOING_TO_ENDPOINT,dump_zone_10,load_zone_26,0.000981,0.002629
10.285,2026-07-08T12:50:25.517,1,715.951,197.662,23.767,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_5,load_zone_26,0.000948,0.002541
10.285,2026-07-08T12:50:25.517,2,698.661,179.208,20.78,-0.5,0.0,GOING_TO_ENDPOINT,dump_zone_7,load_zone_26,0.000948,0.002541
